Framework,Applicable_Population,Coverage_Window,Domain_or_Complete_Coverage,Age85_Accessibility,Any_Primary_Geriatric_Domain,Count,Denominator,Percent,Indeterminate_Count,Notes
NOT_FRAMEWORK_SPECIFIC,FULL_COHORT,NOT_APPLICABLE,AGE85_BY_PRIMARY_GERIATRIC_CONTEXT,INDETERMINATE_AFTER_REVIEW,INDETERMINATE_AFTER_REVIEW,4,1218,0.328407,4,Joint trial-level distribution using the human-confirmed age-corrected analysis; registry states are retained without clinical inference.
NOT_FRAMEWORK_SPECIFIC,FULL_COHORT,NOT_APPLICABLE,AGE85_BY_PRIMARY_GERIATRIC_CONTEXT,INDETERMINATE_AFTER_REVIEW,NOT_PUBLICLY_SPECIFIED,9,1218,0.738916,9,Joint trial-level distribution using the human-confirmed age-corrected analysis; registry states are retained without clinical inference.
NOT_FRAMEWORK_SPECIFIC,FULL_COHORT,NOT_APPLICABLE,AGE85_BY_PRIMARY_GERIATRIC_CONTEXT,INDETERMINATE_AFTER_REVIEW,PRESENT,14,1218,1.149425,14,Joint trial-level distribution using the human-confirmed age-corrected analysis; registry states are retained without clinical inference.
NOT_FRAMEWORK_SPECIFIC,FULL_COHORT,NOT_APPLICABLE,AGE85_BY_PRIMARY_GERIATRIC_CONTEXT,NO,INDETERMINATE_AFTER_REVIEW,89,1218,7.307061,89,Joint trial-level distribution using the human-confirmed age-corrected analysis; registry states are retained without clinical inference.
NOT_FRAMEWORK_SPECIFIC,FULL_COHORT,NOT_APPLICABLE,AGE85_BY_PRIMARY_GERIATRIC_CONTEXT,NO,NOT_PUBLICLY_SPECIFIED,75,1218,6.157635,0,Joint trial-level distribution using the human-confirmed age-corrected analysis; registry states are retained without clinical inference.
NOT_FRAMEWORK_SPECIFIC,FULL_COHORT,NOT_APPLICABLE,AGE85_BY_PRIMARY_GERIATRIC_CONTEXT,NO,PRESENT,169,1218,13.875205,0,Joint trial-level distribution using the human-confirmed age-corrected analysis; registry states are retained without clinical inference.
NOT_FRAMEWORK_SPECIFIC,FULL_COHORT,NOT_APPLICABLE,AGE85_BY_PRIMARY_GERIATRIC_CONTEXT,YES,INDETERMINATE_AFTER_REVIEW,226,1218,18.555008,226,Joint trial-level distribution using the human-confirmed age-corrected analysis; registry states are retained without clinical inference.
NOT_FRAMEWORK_SPECIFIC,FULL_COHORT,NOT_APPLICABLE,AGE85_BY_PRIMARY_GERIATRIC_CONTEXT,YES,NOT_PUBLICLY_SPECIFIED,240,1218,19.704433,0,Joint trial-level distribution using the human-confirmed age-corrected analysis; registry states are retained without clinical inference.
NOT_FRAMEWORK_SPECIFIC,FULL_COHORT,NOT_APPLICABLE,AGE85_BY_PRIMARY_GERIATRIC_CONTEXT,YES,PRESENT,392,1218,32.183908,0,Joint trial-level distribution using the human-confirmed age-corrected analysis; registry states are retained without clinical inference.
CoreVen,VLU_ACTIVE_TREATMENT,PRIMARY_REGISTERED,WOUND_HEALING,ALL_STATES,ALL_STATES,89,304,29.276316,19,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
CoreVen,VLU_ACTIVE_TREATMENT,PRIMARY_REGISTERED,PAIN,ALL_STATES,ALL_STATES,31,304,10.197368,20,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
CoreVen,VLU_ACTIVE_TREATMENT,PRIMARY_REGISTERED,HEALTH_RELATED_QUALITY_OF_LIFE,ALL_STATES,ALL_STATES,5,304,1.644737,21,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
CoreVen,VLU_ACTIVE_TREATMENT,PRIMARY_REGISTERED,RESOURCE_USE,ALL_STATES,ALL_STATES,1,304,0.328947,22,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
CoreVen,VLU_ACTIVE_TREATMENT,PRIMARY_REGISTERED,ADVERSE_EVENTS,ALL_STATES,ALL_STATES,46,304,15.131579,17,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
CoreVen,VLU_ACTIVE_TREATMENT,PRIMARY_REGISTERED,COMPLETE_FRAMEWORK_COVERAGE,ALL_STATES,ALL_STATES,0,304,0.000000,22,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
CoreVen,VLU_ACTIVE_TREATMENT,ANY_REGISTERED,WOUND_HEALING,ALL_STATES,ALL_STATES,132,304,43.421053,35,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
CoreVen,VLU_ACTIVE_TREATMENT,ANY_REGISTERED,PAIN,ALL_STATES,ALL_STATES,115,304,37.828947,25,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
CoreVen,VLU_ACTIVE_TREATMENT,ANY_REGISTERED,HEALTH_RELATED_QUALITY_OF_LIFE,ALL_STATES,ALL_STATES,79,304,25.986842,40,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
CoreVen,VLU_ACTIVE_TREATMENT,ANY_REGISTERED,RESOURCE_USE,ALL_STATES,ALL_STATES,18,304,5.921053,58,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
CoreVen,VLU_ACTIVE_TREATMENT,ANY_REGISTERED,ADVERSE_EVENTS,ALL_STATES,ALL_STATES,112,304,36.842105,32,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
CoreVen,VLU_ACTIVE_TREATMENT,ANY_REGISTERED,COMPLETE_FRAMEWORK_COVERAGE,ALL_STATES,ALL_STATES,2,304,0.657895,62,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
OUTPUTs,PRESSURE_INJURY_PREVENTION,PRIMARY_REGISTERED,PRESSURE_INJURY_OCCURRENCE,ALL_STATES,ALL_STATES,37,184,20.108696,22,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
OUTPUTs,PRESSURE_INJURY_PREVENTION,PRIMARY_REGISTERED,PRECURSOR_SIGNS_OR_SYMPTOMS,ALL_STATES,ALL_STATES,3,184,1.630435,22,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
OUTPUTs,PRESSURE_INJURY_PREVENTION,PRIMARY_REGISTERED,MOBILITY,ALL_STATES,ALL_STATES,16,184,8.695652,22,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
OUTPUTs,PRESSURE_INJURY_PREVENTION,PRIMARY_REGISTERED,ACCEPTABILITY_OR_COMFORT,ALL_STATES,ALL_STATES,7,184,3.804348,22,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
OUTPUTs,PRESSURE_INJURY_PREVENTION,PRIMARY_REGISTERED,ADHERENCE_OR_COMPLIANCE,ALL_STATES,ALL_STATES,1,184,0.543478,22,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
OUTPUTs,PRESSURE_INJURY_PREVENTION,PRIMARY_REGISTERED,ADVERSE_EVENTS_OR_SAFETY,ALL_STATES,ALL_STATES,9,184,4.891304,22,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
OUTPUTs,PRESSURE_INJURY_PREVENTION,PRIMARY_REGISTERED,COMPLETE_FRAMEWORK_COVERAGE,ALL_STATES,ALL_STATES,0,184,0.000000,22,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
OUTPUTs,PRESSURE_INJURY_PREVENTION,ANY_REGISTERED,PRESSURE_INJURY_OCCURRENCE,ALL_STATES,ALL_STATES,43,184,23.369565,29,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
OUTPUTs,PRESSURE_INJURY_PREVENTION,ANY_REGISTERED,PRECURSOR_SIGNS_OR_SYMPTOMS,ALL_STATES,ALL_STATES,5,184,2.717391,32,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
OUTPUTs,PRESSURE_INJURY_PREVENTION,ANY_REGISTERED,MOBILITY,ALL_STATES,ALL_STATES,32,184,17.391304,27,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
OUTPUTs,PRESSURE_INJURY_PREVENTION,ANY_REGISTERED,ACCEPTABILITY_OR_COMFORT,ALL_STATES,ALL_STATES,26,184,14.130435,26,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
OUTPUTs,PRESSURE_INJURY_PREVENTION,ANY_REGISTERED,ADHERENCE_OR_COMPLIANCE,ALL_STATES,ALL_STATES,5,184,2.717391,32,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
OUTPUTs,PRESSURE_INJURY_PREVENTION,ANY_REGISTERED,ADVERSE_EVENTS_OR_SAFETY,ALL_STATES,ALL_STATES,19,184,10.326087,26,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
OUTPUTs,PRESSURE_INJURY_PREVENTION,ANY_REGISTERED,COMPLETE_FRAMEWORK_COVERAGE,ALL_STATES,ALL_STATES,0,184,0.000000,32,Trial-level framework-domain coverage in the prespecified applicable population; full-denominator percentage.
